Id,LotArea,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,SalePrice
22,7449,0,0,0,637,637,1108,0,0,1108,0,0,1,0,3,280,0,0,205,0,0,0,139400
23,9742,281,0,0,1777,1777,1795,0,0,1795,0,0,2,0,3,534,171,159,0,0,0,0,230000
24,4224,0,840,0,200,1040,1060,0,0,1060,1,0,1,0,3,572,100,110,0,0,0,0,129900
25,8246,0,188,668,204,1060,1060,0,0,1060,1,0,1,0,3,270,406,90,0,0,0,0,154000
26,14230,640,0,0,1566,1566,1600,0,0,1600,0,0,2,0,3,890,0,56,0,0,0,0,256300
27,7200,0,234,486,180,900,900,0,0,900,0,1,1,0,3,576,222,32,0,0,0,0,134800
28,11478,200,1218,0,486,1704,1704,0,0,1704,1,0,2,0,3,772,0,50,0,0,0,0,306000
29,16321,0,1277,0,207,1484,1600,0,0,1600,1,0,1,0,2,319,288,258,0,0,0,0,207500
30,6324,0,0,0,520,520,520,0,0,520,0,0,1,0,1,240,49,0,87,0,0,0,68500
31,8500,0,0,0,649,649,649,668,0,1317,0,0,1,0,3,250,0,54,172,0,0,0,40000
32,8544,0,0,0,1228,1228,1228,0,0,1228,0,0,1,1,3,271,0,65,0,0,0,0,149350
33,11049,0,0,0,1234,1234,1234,0,0,1234,0,0,2,0,3,484,0,30,0,0,0,0,179900
34,10552,0,1018,0,380,1398,1700,0,0,1700,0,1,1,1,4,447,0,38,0,0,0,0,165500
35,7313,246,1153,0,408,1561,1561,0,0,1561,1,0,2,0,2,556,203,47,0,0,0,0,277500
36,13418,132,0,0,1117,1117,1132,1320,0,2452,0,0,3,1,4,691,113,32,0,0,0,0,309000
37,10859,0,0,0,1097,1097,1097,0,0,1097,0,0,1,1,3,672,392,64,0,0,0,0,145000
38,8532,650,1213,0,84,1297,1297,0,0,1297,0,1,1,0,3,498,0,0,0,0,0,0,153000
39,7922,0,731,0,326,1057,1057,0,0,1057,1,0,1,0,3,246,0,52,0,0,0,0,109000
40,6040,0,0,0,0,0,1152,0,0,1152,0,0,2,0,2,0,0,0,0,0,0,0,82000
41,8658,101,643,0,445,1088,1324,0,0,1324,0,0,2,0,3,440,0,138,0,0,0,0,160000
42,16905,0,967,0,383,1350,1328,0,0,1328,0,1,1,1,2,308,0,104,0,0,0,0,170000
43,9180,0,747,93,0,840,884,0,0,884,1,0,1,0,2,504,240,0,0,0,0,0,144000
44,9200,0,280,491,167,938,938,0,0,938,1,0,1,0,3,308,145,0,0,0,0,0,130250
45,7945,0,179,506,465,1150,1150,0,0,1150,1,0,1,0,3,300,0,0,0,0,0,0,141000
46,7658,412,456,0,1296,1752,1752,0,0,1752,1,0,2,0,2,576,196,82,0,0,0,0,319900
47,12822,0,1351,0,83,1434,1518,631,0,2149,1,0,1,1,1,670,168,43,0,0,198,0,239686
48,11096,0,24,0,1632,1656,1656,0,0,1656,0,0,2,0,3,826,0,146,0,0,0,0,249700
49,4456,0,0,0,736,736,736,716,0,1452,0,0,2,0,2,0,0,0,102,0,0,0,113000
50,7742,0,763,0,192,955,955,0,0,955,1,0,1,0,3,386,0,0,0,0,0,0,127000
51,13869,0,182,0,612,794,794,676,0,1470,0,1,2,0,3,388,0,75,0,0,0,0,177000
52,6240,0,0,0,816,816,816,0,360,1176,0,0,1,0,3,528,112,0,0,0,0,0,114500
53,8472,0,104,712,0,816,816,0,0,816,1,0,1,0,2,516,106,0,0,0,0,0,110000
54,50271,0,1810,0,32,1842,1842,0,0,1842,2,0,0,1,0,894,857,72,0,0,0,0,385000
55,7134,0,384,0,0,384,1360,0,0,1360,0,0,1,0,3,572,0,50,0,0,0,0,130000
56,10175,272,490,0,935,1425,1425,0,0,1425,0,0,2,0,3,576,0,0,0,407,0,0,180500
57,2645,456,649,0,321,970,983,756,0,1739,1,0,2,1,3,480,115,0,0,0,0,0,172500
58,11645,0,0,0,860,860,860,860,0,1720,0,0,2,1,3,565,0,70,0,0,0,0,196500
59,13682,1031,0,0,1410,1410,1426,1519,0,2945,0,0,3,1,3,641,192,0,37,0,0,0,438780
60,7200,0,632,0,148,780,780,0,0,780,0,0,1,0,2,352,196,0,0,0,0,0,124900
61,13072,0,941,0,217,1158,1158,0,0,1158,1,0,1,1,3,576,0,50,0,0,0,0,158000
62,7200,0,0,0,530,530,581,530,0,1111,0,0,1,0,3,288,0,0,144,0,0,0,101000
63,6442,178,24,0,1346,1370,1370,0,0,1370,0,0,2,0,2,484,120,49,0,0,0,0,202500
64,10300,0,0,0,576,576,902,808,0,1710,0,0,2,0,3,480,12,11,64,0,0,0,140000
65,9375,573,739,0,318,1057,1057,977,0,2034,1,0,2,1,3,645,576,36,0,0,0,0,219500
66,9591,344,0,0,1143,1143,1143,1330,0,2473,0,0,2,1,4,852,192,151,0,0,0,0,317000
67,19900,287,912,0,1035,1947,2207,0,0,2207,1,0,2,0,3,576,301,0,0,0,0,0,180000
68,10665,167,1013,0,440,1453,1479,0,0,1479,1,0,2,0,3,558,144,29,0,0,0,0,226000
69,4608,0,0,0,747,747,747,0,0,747,0,0,1,0,2,220,0,0,0,0,0,0,80000
70,15593,0,603,0,701,1304,1304,983,0,2287,0,0,2,0,3,667,0,21,114,0,0,0,225000
71,13651,1115,1880,0,343,2223,2223,0,0,2223,1,0,2,0,3,516,300,0,0,0,0,0,244000
72,7599,0,565,0,280,845,845,0,0,845,1,0,1,0,2,360,0,0,0,0,0,0,129500
73,10141,40,0,0,832,832,885,833,0,1718,0,0,2,1,3,427,0,94,0,0,291,0,185000
74,10200,104,320,362,404,1086,1086,0,0,1086,1,0,1,0,3,490,0,0,0,0,0,0,144900
75,5790,0,0,0,840,840,840,765,0,1605,0,0,2,0,3,379,0,0,202,0,0,0,107400
76,1596,0,462,0,0,462,526,462,0,988,1,0,1,0,2,297,120,101,0,0,0,0,91000
77,8475,0,228,0,724,952,952,0,0,952,0,0,1,0,2,283,0,0,0,0,0,0,135750
78,8635,0,336,41,295,672,1072,213,0,1285,1,0,1,0,2,240,0,0,0,0,0,0,127000
79,10778,0,0,0,1768,1768,1768,0,0,1768,0,0,2,0,4,0,0,0,0,0,0,0,136500
80,10440,0,0,0,440,440,682,548,0,1230,0,0,1,1,2,440,74,0,128,0,0,0,110000
81,13000,576,448,0,448,896,1182,960,0,2142,0,0,2,1,4,509,0,72,0,0,252,0,193500
82,4500,443,1201,0,36,1237,1337,0,0,1337,1,0,2,0,2,405,0,199,0,0,0,0,153500
83,10206,468,33,0,1530,1563,1563,0,0,1563,0,0,2,0,3,758,144,99,0,0,0,0,245000
84,8892,66,0,0,1065,1065,1065,0,0,1065,0,0,1,1,3,461,74,0,0,0,0,0,126500
85,8530,22,0,0,384,384,804,670,0,1474,0,0,2,1,3,400,120,72,0,0,0,0,168500
86,16059,284,0,0,1288,1288,1301,1116,0,2417,0,0,2,1,4,462,127,82,0,0,0,0,260000
87,11911,0,0,0,684,684,684,876,0,1560,0,0,2,1,3,400,100,38,0,0,0,0,174000
88,3951,76,0,0,612,612,612,612,0,1224,0,0,2,1,2,528,0,234,0,0,0,0,164500
89,8470,0,0,0,1013,1013,1013,0,513,1526,0,0,1,0,2,0,0,0,156,0,0,0,85000
90,8070,0,588,0,402,990,990,0,0,990,1,0,1,0,3,0,0,0,0,0,0,0,123600
91,7200,0,0,0,0,0,1040,0,0,1040,0,0,1,0,2,420,0,29,0,0,0,0,109900
92,8500,203,600,0,635,1235,1235,0,0,1235,0,0,1,0,2,480,0,0,0,0,0,0,98600
93,13360,0,713,0,163,876,964,0,0,964,1,0,1,0,2,432,0,0,44,0,0,0,163500
94,7200,0,1046,0,168,1214,1260,1031,0,2291,0,1,2,0,4,506,0,0,0,0,99,0,133900
95,9337,0,648,0,176,824,905,881,0,1786,1,0,2,1,3,684,0,162,0,0,0,0,204750
96,9765,68,310,0,370,680,680,790,0,1470,0,0,2,1,3,420,232,63,0,0,0,0,185000
97,10264,183,1162,0,426,1588,1588,0,0,1588,0,0,2,0,3,472,158,29,0,0,0,0,214000
98,10921,48,520,0,440,960,960,0,0,960,1,0,1,0,3,432,120,0,0,0,0,0,94750
99,10625,0,108,0,350,458,835,0,0,835,0,0,1,0,2,366,0,0,77,0,0,0,83000
100,9320,0,569,0,381,950,1225,0,0,1225,1,0,1,1,3,0,352,0,0,0,0,0,128950
101,10603,28,1200,0,410,1610,1610,0,0,1610,1,0,2,0,3,480,168,68,0,0,0,0,205000
102,9206,336,0,0,741,741,977,755,0,1732,0,0,2,1,3,476,192,46,0,0,0,0,178000
103,7018,0,0,0,0,0,1535,0,0,1535,0,0,2,0,4,410,0,0,0,0,0,0,118964
104,10402,0,0,0,1226,1226,1226,0,0,1226,0,0,2,0,3,740,0,36,0,0,0,0,198900
105,7758,600,224,0,816,1040,1226,592,0,1818,0,0,1,1,4,240,0,0,0,0,184,0,169500
106,9375,768,0,0,1053,1053,1053,939,0,1992,0,0,2,1,3,648,140,45,0,0,0,0,250000
107,10800,0,0,0,641,641,1047,0,0,1047,0,0,1,0,2,273,0,0,0,0,0,0,100000
108,6000,0,104,169,516,789,789,0,0,789,0,0,1,0,2,250,0,0,0,0,0,0,115000
109,8500,0,0,0,793,793,997,520,0,1517,0,0,2,0,3,0,0,0,144,0,0,0,115000
110,11751,480,705,0,1139,1844,1844,0,0,1844,0,0,2,0,3,546,0,122,0,0,0,0,190000
111,9525,0,444,0,550,994,1216,639,0,1855,0,0,2,0,4,325,182,0,0,0,0,0,136900
112,7750,0,250,0,134,384,774,656,0,1430,0,0,2,1,3,400,180,0,0,0,0,0,180000
113,9965,220,984,0,280,1264,1282,1414,0,2696,1,0,2,1,4,792,120,184,0,0,168,0,383970
114,21000,184,35,869,905,1809,2259,0,0,2259,1,0,2,0,3,450,166,120,192,0,0,0,217000
115,7259,0,774,150,104,1028,1436,884,0,2320,1,0,2,1,3,180,224,0,0,0,0,0,259500
116,3230,1129,419,0,310,729,729,729,0,1458,0,0,2,1,2,440,0,32,0,0,0,0,176000
117,11616,116,170,670,252,1092,1092,0,0,1092,0,1,1,0,3,288,0,20,144,0,0,0,139000
118,8536,0,0,0,1125,1125,1125,0,0,1125,0,0,1,1,2,430,80,64,0,0,0,0,155000
119,12376,0,1470,0,203,1673,1699,1523,0,3222,1,0,3,0,5,594,367,0,0,0,0,0,320000
120,8461,0,0,0,728,728,728,728,0,1456,0,0,2,1,3,390,0,24,0,0,0,0,163990
121,21453,0,938,0,0,938,988,0,0,988,1,0,1,0,1,540,0,130,0,130,0,0,180000
122,6060,0,0,0,732,732,772,351,0,1123,0,0,1,0,3,264,0,0,140,0,0,0,100000
123,9464,135,570,0,510,1080,1080,0,0,1080,0,0,1,0,3,288,0,0,0,0,130,0,136000
124,7892,0,300,0,899,1199,1199,0,0,1199,0,0,2,0,2,530,0,63,0,0,0,0,153900
125,17043,0,0,0,1362,1362,1586,0,0,1586,0,0,2,0,3,435,192,0,0,0,0,0,181000
126,6780,0,490,0,30,520,520,0,234,754,1,0,1,0,2,0,53,0,0,0,0,0,84500
127,4928,0,120,0,958,1078,958,0,0,958,0,0,2,0,2,440,0,205,0,0,0,0,128000
128,4388,0,116,0,556,672,840,0,0,840,0,0,1,0,3,0,0,0,0,0,0,0,87000
129,7590,266,512,0,148,660,660,688,0,1348,0,0,1,1,3,453,188,108,0,0,0,0,155000
130,8973,85,567,28,413,1008,1053,0,0,1053,0,1,1,1,3,750,0,80,0,180,0,0,150000
131,14200,309,445,0,479,924,1216,941,0,2157,0,0,2,1,4,487,105,66,0,0,0,0,226000
132,12224,40,695,0,297,992,1022,1032,0,2054,1,0,2,1,3,390,24,48,0,0,0,0,244000
133,7388,0,405,0,658,1063,1327,0,0,1327,1,0,1,0,3,624,0,0,0,0,0,0,150750
134,6853,136,1005,0,262,1267,1296,0,0,1296,1,0,2,0,2,471,192,25,0,0,0,0,220000
135,10335,0,570,0,891,1461,1721,0,0,1721,0,0,2,1,3,440,0,96,180,0,0,0,180000
136,10400,288,0,0,1304,1304,1682,0,0,1682,0,0,2,0,3,530,98,0,0,0,0,0,174000
137,10355,196,695,0,519,1214,1214,0,0,1214,0,0,2,0,3,318,0,111,0,0,0,0,143000
138,11070,70,0,0,1907,1907,1959,0,0,1959,0,0,3,0,5,766,0,0,0,0,0,0,171000
139,9066,320,668,0,336,1004,1004,848,0,1852,0,0,2,1,3,660,224,106,0,0,0,0,230000
140,15426,0,821,0,107,928,928,836,0,1764,1,0,2,1,3,470,276,99,0,0,0,0,231500
141,10500,0,432,0,432,864,864,0,0,864,0,0,1,0,3,0,0,0,0,0,0,0,115000
142,11645,0,1300,0,434,1734,1734,0,0,1734,1,0,2,0,3,660,160,24,0,0,0,0,260000
143,8520,0,507,0,403,910,910,475,0,1385,0,0,2,0,4,720,0,0,0,0,0,0,166000
144,10335,183,679,0,811,1490,1501,0,0,1501,1,0,2,0,3,577,144,29,0,0,0,0,204000
145,9100,336,1332,0,396,1728,1728,0,0,1728,1,0,2,0,6,504,0,0,0,0,0,0,125000
146,2522,50,0,0,970,970,970,739,0,1709,0,0,2,0,3,380,0,40,0,0,0,0,130000
147,6120,0,209,0,506,715,875,0,0,875,1,0,1,0,2,180,48,0,0,0,0,0,105000
148,9505,180,0,0,884,884,884,1151,0,2035,0,0,2,1,3,434,144,48,0,0,0,0,222500
149,7500,120,680,0,400,1080,1080,0,0,1080,1,0,1,0,3,0,0,0,0,0,0,0,141000
150,6240,0,0,0,896,896,896,448,0,1344,0,0,1,0,3,240,200,114,0,0,0,0,115000
151,10356,0,716,0,253,969,969,0,0,969,0,0,1,1,3,440,0,0,0,0,0,0,122000
152,13891,436,1400,0,310,1710,1710,0,0,1710,1,0,2,0,2,866,0,102,0,0,0,0,372402
153,14803,252,416,0,409,825,1097,896,0,1993,0,0,2,1,4,495,0,66,0,0,0,0,190000
154,13500,0,429,1080,93,1602,1252,0,0,1252,1,0,1,0,1,564,409,0,0,0,0,0,235000
155,11340,0,0,0,1200,1200,1200,0,0,1200,0,0,1,0,4,312,0,0,228,0,0,0,125000
156,9600,0,0,0,572,572,572,524,0,1096,0,0,1,0,2,0,0,8,128,0,0,0,79000
157,7200,0,0,0,0,0,1040,0,0,1040,0,0,1,0,2,625,0,0,0,0,0,0,109500
158,12003,84,0,0,774,774,774,1194,0,1968,0,0,2,1,4,680,0,75,0,0,0,0,269500
159,12552,0,222,0,769,991,991,956,0,1947,0,0,2,1,3,678,0,136,0,0,0,0,254900
160,19378,456,57,0,1335,1392,1392,1070,0,2462,1,0,2,1,4,576,239,132,0,168,0,0,320000
161,11120,0,660,0,572,1232,1232,0,0,1232,0,0,2,0,3,516,0,0,0,0,0,0,162500
162,13688,664,1016,0,556,1572,1572,1096,0,2668,1,0,2,1,3,726,400,0,0,0,0,0,412500
163,12182,226,1201,0,340,1541,1541,0,0,1541,0,0,2,0,3,532,0,70,0,0,0,0,220000
164,5500,0,0,0,882,882,882,0,0,882,0,0,1,0,1,0,0,0,0,0,0,0,103200
165,5400,0,370,0,779,1149,1149,467,0,1616,0,0,2,0,3,216,0,0,183,0,0,0,152000
166,10106,0,351,181,112,644,808,547,0,1355,1,0,2,0,4,0,140,0,0,0,0,0,127500
167,10708,0,379,768,470,1617,1867,0,0,1867,1,0,1,0,2,303,476,0,0,0,142,0,190000
168,10562,300,1288,0,294,1582,1610,551,0,2161,1,0,1,1,3,789,178,120,0,0,0,0,325624
169,8244,0,0,0,840,840,840,880,0,1720,0,0,2,1,3,440,100,48,0,0,0,0,183500
170,16669,653,0,0,1686,1686,1707,0,0,1707,0,0,2,1,2,511,574,64,0,0,0,0,228000
171,12358,0,360,0,360,720,854,0,528,1382,0,0,1,1,2,660,237,0,0,0,0,0,128500
172,31770,112,639,0,441,1080,1656,0,0,1656,1,0,1,0,3,528,210,62,0,0,0,0,215000
173,5306,0,495,215,354,1064,1064,703,0,1767,1,0,2,0,2,504,441,35,0,0,0,0,239000
174,10197,491,288,374,700,1362,1362,0,0,1362,1,0,1,1,3,504,0,20,0,0,0,0,163000
175,12416,132,1398,208,0,1606,1651,0,0,1651,1,0,2,0,3,616,192,0,0,0,0,0,184000
176,12615,0,477,0,725,1202,2158,0,0,2158,1,0,2,0,4,576,0,29,39,0,0,0,243000
177,10029,268,831,0,320,1151,1164,896,0,2060,0,1,2,1,4,521,0,228,0,0,192,0,211000
178,13650,0,57,441,554,1052,1252,668,0,1920,1,0,2,0,4,451,0,0,0,0,0,0,172500
179,17423,748,1904,0,312,2216,2234,0,0,2234,1,0,2,0,1,1166,0,60,0,0,0,0,501837
180,8520,0,0,0,968,968,968,0,0,968,0,0,1,0,2,480,0,0,184,0,0,0,100000
181,2117,456,436,0,320,756,769,756,0,1525,0,0,2,1,3,440,0,0,0,0,0,0,177000
182,7588,0,352,0,441,793,901,901,0,1802,0,0,1,1,4,216,0,0,40,0,0,0,200100
183,9060,98,0,0,0,0,1340,0,0,1340,0,0,1,0,3,252,116,0,0,180,0,0,120000
184,11426,0,0,0,1362,1362,1362,720,0,2082,0,0,2,1,3,484,280,238,0,0,0,0,200000
185,7438,0,0,0,504,504,936,316,0,1252,0,0,1,0,3,576,104,0,0,0,0,0,127000
186,22950,0,0,0,1107,1107,1518,1518,572,3608,0,0,2,1,4,840,0,260,0,0,410,0,475000
187,9947,0,611,0,577,1188,1217,0,0,1217,1,0,2,0,3,497,168,27,0,0,0,0,173000
188,10410,0,0,0,660,660,808,704,144,1656,0,0,2,1,3,180,0,0,0,140,0,0,135000
189,7018,275,1086,0,0,1086,1224,0,0,1224,2,0,0,2,2,528,120,0,0,0,0,0,153337
190,4923,0,1153,0,440,1593,1593,0,0,1593,1,0,1,1,0,682,0,120,0,0,224,0,286000
191,10570,0,297,0,556,853,1549,1178,0,2727,0,0,2,1,3,440,0,74,0,0,0,0,315000
192,7472,138,626,0,99,725,725,754,0,1479,1,0,1,1,4,484,0,32,0,0,0,0,184000
193,9017,0,560,0,871,1431,1431,0,0,1431,1,0,2,0,3,666,0,35,0,0,0,0,192000
194,2522,50,0,0,970,970,970,739,0,1709,0,0,2,0,3,380,0,40,0,0,0,0,130000
195,7180,0,390,0,474,864,864,0,0,864,0,0,1,0,3,352,0,0,0,0,0,0,127000
196,2280,0,566,0,289,855,855,601,0,1456,0,0,2,1,3,440,87,0,0,0,0,0,148500
197,9416,205,1126,0,600,1726,1726,0,0,1726,1,0,2,0,3,786,171,138,0,0,266,0,311872
198,25419,0,1036,184,140,1360,1360,1360,392,3112,1,1,2,0,4,795,0,16,552,0,0,512,235000
199,5520,0,0,0,755,755,929,929,371,2229,0,0,1,0,5,0,0,198,30,0,0,0,104000
200,9591,262,1088,0,625,1713,1713,0,0,1713,1,0,2,0,3,856,0,26,0,0,170,0,274900
201,8546,0,0,0,1121,1121,1121,0,0,1121,0,0,2,0,2,440,132,64,0,0,0,0,140000
202,10125,0,641,279,276,1196,1279,0,0,1279,0,1,2,0,3,473,238,83,0,0,0,0,171500
203,7000,0,617,0,0,617,865,445,0,1310,0,0,2,0,2,398,0,0,126,0,0,0,112000
204,4438,205,662,0,186,848,848,0,0,848,1,0,1,0,1,420,149,0,0,0,0,0,149000
205,3500,0,312,0,408,720,720,564,0,1284,0,0,1,1,2,240,0,35,0,0,0,0,110000
206,11851,0,0,0,1424,1424,1442,0,0,1442,0,0,2,0,3,500,0,34,0,508,0,0,180500
207,13673,0,0,0,1140,1140,1696,0,0,1696,0,0,1,1,3,349,0,30,0,0,0,0,143900
208,12493,0,419,306,375,1100,1100,0,0,1100,1,0,1,0,3,312,355,0,0,0,0,0,141000
209,14364,128,1065,0,92,1157,1180,882,0,2062,1,0,2,1,3,454,60,55,0,0,154,0,277000
210,8250,260,787,0,305,1092,1092,0,0,1092,1,0,1,0,3,504,0,0,0,0,0,0,145000
211,5604,0,468,0,396,864,864,0,0,864,1,0,1,0,2,0,0,0,96,0,0,0,98000
212,10420,0,36,0,1176,1212,1212,0,0,1212,0,0,2,0,3,460,100,22,0,0,0,0,186000
213,8640,0,822,0,78,900,932,920,0,1852,1,0,2,1,3,644,168,108,0,0,0,0,252678
214,13568,0,716,0,274,990,990,0,0,990,0,1,1,0,3,576,224,0,0,0,0,0,156000
215,10900,153,378,0,311,689,689,703,0,1392,0,0,1,1,3,299,0,36,0,0,0,0,161750
216,10011,64,360,0,710,1070,1236,0,0,1236,0,1,1,0,2,447,0,0,0,0,0,0,134450
217,8450,266,946,0,490,1436,1436,0,0,1436,1,0,2,0,3,484,139,98,0,0,0,0,210000
218,9906,0,0,0,686,686,810,518,0,1328,0,0,1,0,3,210,0,172,60,0,0,0,107000
219,15660,312,341,0,457,798,1137,817,0,1954,0,1,1,1,3,431,0,119,150,0,0,0,311500
220,3010,16,16,0,1232,1248,1248,0,0,1248,0,0,2,0,2,438,108,0,0,0,0,0,167240
221,8990,0,0,0,1498,1498,1498,0,0,1498,0,0,2,0,2,675,351,33,0,0,0,0,204900
222,8068,0,0,0,1010,1010,1010,1257,0,2267,0,0,2,1,4,390,120,46,0,0,0,0,200000
223,11475,0,550,0,163,713,811,741,0,1552,1,0,2,1,3,434,209,208,0,0,0,0,179900
224,10500,0,524,180,160,864,864,0,0,864,0,0,1,0,2,576,216,0,0,0,0,0,97000
225,13472,922,56,0,2336,2392,2392,0,0,2392,0,0,2,0,3,968,248,105,0,0,0,0,386250
226,1680,142,0,0,630,630,630,672,0,1302,0,0,2,1,3,280,0,0,0,0,0,0,112000
227,9950,290,565,0,638,1203,1214,1306,0,2520,0,0,2,1,4,721,224,114,0,0,0,0,290000
228,1869,127,321,0,162,483,483,504,0,987,0,0,1,1,2,280,0,0,0,0,0,0,106000
229,8521,0,842,0,70,912,912,0,0,912,0,0,1,0,3,336,0,0,0,0,0,0,125000
230,3182,16,16,0,1357,1373,1555,0,0,1555,0,0,2,0,2,430,143,20,0,0,0,0,192500
231,8760,220,0,0,1194,1194,1194,0,0,1194,1,0,1,0,3,312,0,0,120,0,0,0,148000
232,15138,506,689,0,773,1462,1490,1304,0,2794,1,0,2,1,4,810,0,146,202,0,0,0,403000
233,1680,297,0,0,483,483,483,504,0,987,0,0,1,1,2,288,0,0,0,0,0,0,94500
234,10650,0,182,712,0,894,894,0,0,894,1,0,1,0,3,308,365,0,0,0,0,0,128200
235,7851,NA,625,0,235,860,860,1100,0,1960,1,0,2,1,4,440,288,48,0,0,0,0,216500
236,1680,604,358,0,125,483,483,504,0,987,0,0,1,1,2,264,0,0,0,0,0,0,89500
237,8773,98,24,0,1390,1414,1414,0,0,1414,0,0,2,0,3,494,132,105,0,0,0,0,185500
238,9453,0,402,0,594,996,1014,730,0,1744,0,0,2,1,3,457,370,70,0,238,0,0,194500
239,12030,254,0,0,1694,1694,1694,0,0,1694,0,0,2,0,3,818,168,228,0,0,0,0,318000
240,8741,0,94,0,641,735,798,689,0,1487,0,0,1,1,3,220,0,140,0,0,0,0,113000
241,9000,36,1078,0,488,1566,1566,0,0,1566,1,0,2,0,3,750,144,168,0,0,0,0,262500
242,3880,0,329,0,357,686,866,0,0,866,0,0,1,0,2,0,58,42,0,0,0,0,110500
243,5000,0,0,0,540,540,889,551,0,1440,0,0,1,0,3,352,0,0,77,0,0,0,79000
244,10762,0,0,0,626,626,626,591,0,1217,0,0,1,1,3,288,0,28,0,0,0,0,120000
245,8880,0,695,0,253,948,1222,888,0,2110,1,0,2,1,3,463,0,130,0,0,0,0,205000
246,10400,102,929,0,916,1845,1872,0,0,1872,0,1,2,0,3,604,197,39,0,0,0,0,241500
247,9142,0,0,0,1020,1020,908,1020,0,1928,0,0,2,0,4,440,0,60,112,0,0,0,137000
248,11310,0,0,0,1367,1367,1375,0,0,1375,0,0,1,0,2,451,0,30,0,0,0,0,140000
249,11317,101,0,0,840,840,840,828,0,1668,0,0,2,1,3,500,144,68,0,0,0,0,180000
250,159000,472,697,0,747,1444,1444,700,0,2144,0,1,2,0,4,389,0,98,0,0,0,0,277000
251,5350,0,0,0,728,728,1306,0,0,1306,0,0,1,0,3,0,263,0,0,0,0,0,76500
252,4750,481,1573,0,0,1573,1625,0,0,1625,1,1,2,0,2,538,123,0,0,0,153,0,235000
253,8366,0,0,0,798,798,798,842,0,1640,0,0,2,1,3,520,138,45,0,0,0,0,173000
254,9350,108,270,580,452,1302,1302,0,0,1302,0,1,2,0,3,309,333,0,0,0,0,0,158000
255,8400,0,922,0,392,1314,1314,0,0,1314,1,0,1,0,3,294,250,0,0,0,0,0,145000
256,8738,302,0,0,975,975,1005,1286,0,2291,0,0,2,1,4,429,192,0,0,0,0,0,230000
257,8791,0,503,0,361,864,864,864,0,1728,0,0,2,1,3,673,216,56,0,0,0,0,207500
258,8814,180,1334,0,270,1604,1604,0,0,1604,1,0,2,1,3,660,123,110,0,0,0,0,220000
259,12435,172,361,0,602,963,963,829,0,1792,0,0,2,1,3,564,0,96,0,245,0,0,231500
